Date,Open,High,Low,Close,Adj Close,Volume
16/03/2016,697,702,691.5,700,670.124634,248712
17/03/2016,710,710,695,698,668.210022,75314
18/03/2016,697.5,709,694,705,674.911255,735698
21/03/2016,693,705,693,701,671.08197,217954
22/03/2016,708.5,708.5,692.5,695.5,665.816711,190019
23/03/2016,710,710,694.5,694.5,664.859436,90545
24/03/2016,694,701,693,699,669.167297,446240
29/03/2016,708.5,708.5,689,696.5,666.774048,807615
30/03/2016,700,705,698.5,703,672.996643,536285
31/03/2016,698.5,704.5,693,703.5,673.47522,112324
01/04/2016,696,704,691.5,699.5,669.646057,110830
04/04/2016,701,701.700012,679.5,691,661.508728,291522
05/04/2016,690.5,694.268005,680,682.5,653.371582,292979
06/04/2016,683,703,678,701.5,671.56073,482243
07/04/2016,702,704.5,690.5,700,670.124634,225386
08/04/2016,687.5,702.5,687.5,693,663.423401,156450
11/04/2016,693.5,696,680.5,695,665.338074,120362
12/04/2016,691.5,692,685.5,687,657.679565,149605
13/04/2016,688,697,686.5,695.5,665.816711,192069
14/04/2016,693,696.5,689.150024,693.5,663.902161,115543
15/04/2016,693,699,689,694,664.380798,99593
18/04/2016,688,700,686,699.5,669.646057,246132
19/04/2016,683,701,683,699,669.167297,294356
20/04/2016,682,700.349976,682,693,663.423401,205763
21/04/2016,693.5,695,687.5,690,660.551392,269684
22/04/2016,684,697.5,684,692.5,662.944763,175946
25/04/2016,702.5,702.5,692.5,697.5,667.731384,127197
26/04/2016,696.5,701.5,693.5,695,665.338074,118518
27/04/2016,694,703.5,693.5,700,670.124634,2093450
28/04/2016,691,699,679.61499,694.5,668.680481,222198
29/04/2016,685,686,660.5,663,638.351563,178359
03/05/2016,662.5,681.5,655.5,679.5,654.238159,177860
04/05/2016,680,702.567993,680,700,673.975952,372149
05/05/2016,703.5,717,699,715,688.418335,3576993
06/05/2016,718,725.5,708.5,709,682.641296,238225
09/05/2016,711.5,713.5,707,707.5,681.197266,401357
10/05/2016,722.5,722.5,704,706.5,680.234436,180201
11/05/2016,705.5,714,701.835999,708,681.67865,346008
12/05/2016,723.5,723.5,703.5,710,683.604187,197524
13/05/2016,708,714,700.5,703,676.864502,383734
16/05/2016,700,710,699.5,704.5,678.308655,124582
17/05/2016,721,721,708,716.5,689.86261,105287
18/05/2016,713.5,723,712,717.5,690.825378,539507
19/05/2016,720,731,714.5,724.5,697.565186,145283
20/05/2016,726.5,736,722,736,708.637634,119112
23/05/2016,734,743.5,729.5,742.5,714.895996,147154
24/05/2016,735,746.5,734.757019,742,714.41449,83322
25/05/2016,746,752.5,736.156982,751,723.080017,121755
26/05/2016,743,751.507996,735,742.5,714.895996,103463
27/05/2016,745,749,737.5,746.5,718.747314,81730
31/05/2016,744.5,753.5,743,750,722.117004,238533
01/06/2016,745,748.028015,720,723.5,696.602295,159665
02/06/2016,717.5,735,716.5,735,707.674866,118036
03/06/2016,739,740,726.440002,735,707.674866,86372
06/06/2016,723.5,739.5,722.5,728,700.935059,150830
07/06/2016,725.5,737,722.5,731,703.823547,276552
08/06/2016,727.5,729.5,721.28302,727.5,700.453613,156353
09/06/2016,725,738,721,735,707.674866,64734
10/06/2016,735.5,738,720,725,698.046509,168133
13/06/2016,721,727,711.5,714.5,687.936951,148467
14/06/2016,714,722.5,709,711.5,685.048462,176277
15/06/2016,718.5,718.5,702,707.5,681.197266,282437
16/06/2016,702.5,709.5,693.5,694.5,668.680481,292821
17/06/2016,690,721,690,714.5,687.936951,264510
20/06/2016,716.5,753.5,716.5,743,715.37738,153462
21/06/2016,740.5,745,718,719.5,692.750977,120221
22/06/2016,712,745,712,736,708.637634,82191
23/06/2016,741.5,764.5,741.5,757.5,729.338257,127609
24/06/2016,727,733,663.562012,722,695.15802,452885
27/06/2016,722.5,727,662.5,670,645.091309,530854
28/06/2016,679.5,698.552002,673,677,651.831055,2951661
29/06/2016,689.5,709,684.5,694,668.199097,756885
30/06/2016,708.5,711,687.5,706,679.75293,276703
01/07/2016,705,713.5,694,707,680.715759,168390
04/07/2016,717.5,717.5,694.5,695,669.161865,206637
05/07/2016,699.5,700,674.5,679,653.756775,245409
06/07/2016,683,687.5,670.5,683,657.60791,677290
07/07/2016,700,761,700,705,678.790161,311979
08/07/2016,702,718.5,694.5,714.5,687.936951,204149
11/07/2016,713.5,748,709.5,738.5,711.044678,183648
12/07/2016,750.5,754,735,742.5,714.895996,189044
13/07/2016,763.5,778.5,752,753,725.005615,299258
14/07/2016,755.5,776,750,758,729.819702,296524
15/07/2016,763,763,740.580017,753.5,725.487,122744
18/07/2016,764,775,752.140991,770,741.373596,139828
19/07/2016,770.5,785.5,764.560974,778,749.076172,224829
20/07/2016,780.5,807.5,777.5,801.5,771.702454,281181
21/07/2016,799.5,812,786,807,776.997925,190666
22/07/2016,801.5,812,795.544983,806,776.035217,147565
25/07/2016,808.5,825,796,817.5,787.107666,175748
26/07/2016,820.5,830,806,809,778.923706,120711
27/07/2016,816.5,829,810,826,795.291748,374697
28/07/2016,822,837.5,819,836.5,805.401367,185563
29/07/2016,829,854,821.5,852,820.325073,157542
01/08/2016,848,851.5,834,848.5,816.955139,270837
02/08/2016,835,837,818.5,833,802.031372,219932
03/08/2016,826,848,821.820984,844.5,813.103882,364470
04/08/2016,850,857.5,835,850,818.399475,149082
05/08/2016,857,862,848,858.5,826.583435,194587
08/08/2016,860,870,855,870,837.655884,152471
09/08/2016,870,890.5,866.012024,890.5,857.393799,250663
10/08/2016,880,886.481018,865,874,841.507263,175033
11/08/2016,879.5,889,856.5,886,853.061035,184492
12/08/2016,880.5,894.5,864,889.5,856.430908,212060
15/08/2016,895,899,873.5,889.5,856.430908,135670
16/08/2016,884.5,892,873,875.5,842.951416,132457
17/08/2016,884,894.5,877,892,858.838013,136199
18/08/2016,890.5,900,886.5,896.5,863.170715,314949
19/08/2016,889.5,898,887,891.5,858.356506,160031
22/08/2016,897,897,884.5,888.5,855.46814,113166
23/08/2016,890,894,883,890,856.912354,218238
24/08/2016,887.5,899.5,875.5,893,859.80072,277193
25/08/2016,896,896,876,883.5,850.653931,98602
26/08/2016,890.5,895.5,878,892,858.838013,195517
30/08/2016,895,895,874,880,847.284058,132878
31/08/2016,878,890.5,871,887.5,854.505249,142551
01/09/2016,893.5,900,887,898,864.614807,296586
02/09/2016,900,900.5,888.5,896,862.68927,217263
05/09/2016,892.5,899,886,892,858.838013,90829
06/09/2016,891.5,900,886.950012,890,856.912354,119933
07/09/2016,889,899,878.5,891,857.875183,107811
08/09/2016,903.5,924,891.5,924,889.648315,167263
09/09/2016,950.5,979.5,938,946.5,911.311768,427206
12/09/2016,952,952,907,925,890.611145,351889
13/09/2016,921.5,925.437988,913,918.5,884.352783,230369
14/09/2016,915.5,925,900.989014,909,875.205994,392582
15/09/2016,896.5,913.5,891,913.5,879.538635,1085796
16/09/2016,914.5,922,897.5,921,886.759766,333086
19/09/2016,924,926.200012,909.200012,918,883.871338,172675
20/09/2016,913,938.5,913,938.5,903.609253,212717
21/09/2016,937,946.5,924.5,926.5,892.055298,391934
22/09/2016,930.5,943,924.5,941.5,906.497681,247589
23/09/2016,943.5,943.5,933,938.5,903.609253,207930
26/09/2016,930,944.119995,925,933,898.313721,110885
27/09/2016,936.5,939,925.5,935,900.23938,192883
28/09/2016,932.5,950,931.5,946,910.830383,65896
29/09/2016,947,947.5,939,946.5,911.311768,70209
30/09/2016,939,945,929,940.5,905.534851,182644
03/10/2016,938,952.5,926.5,950,914.681702,431224
04/10/2016,951,993.5,943.5,952,916.607361,2322815
05/10/2016,943.5,950.5,930.5,935.5,900.720825,175788
06/10/2016,945,945,925.5,931.5,896.869446,147018
07/10/2016,943,943,898.5,898.5,865.096313,322873
10/10/2016,892,934.5,884.5,887,854.023865,207145
11/10/2016,885,923,880.5,913,879.057251,159357
12/10/2016,910.5,913.5,892,895,861.726501,161201
13/10/2016,906.5,914,886,897.5,864.133484,294235
14/10/2016,905.5,909,890.379028,899,865.577759,137431
17/10/2016,890,903.549988,876.5,879,846.321228,156966
18/10/2016,888.5,904,882,898,864.614807,241368
19/10/2016,896.5,905.5,887,898,864.614807,160326
20/10/2016,887.5,901,885,901,875.301208,290032
21/10/2016,906,909,896,899.5,873.843933,156039
24/10/2016,900.5,904,884.5,885,859.757446,201941
25/10/2016,883.5,883.5,861,865.5,840.813599,219026
26/10/2016,863,873.080017,851,860,835.470642,335668
27/10/2016,859,875.299988,850.5,855,830.613159,181252
28/10/2016,849.5,877,844.840027,871,846.15686,207002
31/10/2016,860.5,872,855,870,845.185364,190756
01/11/2016,876,890.5,868.5,888,862.671875,215184
02/11/2016,857.5,869,829.150024,866,841.299438,513070
03/11/2016,871.5,878,866,868,843.242432,220561
04/11/2016,874.5,874.5,842,844,819.927002,195122
07/11/2016,862,863,847,857,832.556152,132092
08/11/2016,872,876,854.5,864,839.356445,221191
09/11/2016,845,877,841.5,867.5,842.756653,191786
10/11/2016,871,878,859.401978,870,845.185364,160388
11/11/2016,859.5,869.5,848.5,863,838.38501,162630
14/11/2016,870,874,861.5,865.5,840.813599,84088
15/11/2016,866.5,877,862.5,863,838.38501,252968
16/11/2016,848,865.5,840.5,848,823.812805,190828
17/11/2016,849.5,858,840,845.5,821.384277,165058
18/11/2016,863.5,864.5,840,862,837.413574,228693
21/11/2016,841.5,870,841.5,849,824.784363,97345
22/11/2016,855,860.5,838.5,838.5,814.583801,125542
23/11/2016,839,844,836.5,840,816.040955,243886
24/11/2016,835,849.659973,825.5,829,805.354736,76384
25/11/2016,835.5,835.5,819,824,800.497375,137762
28/11/2016,817,824.5,814.5,819.5,796.125732,75516
29/11/2016,821,831.5,812.5,825.5,801.954651,110915
30/11/2016,832,832,812,820,796.61145,267685
01/12/2016,824.5,828.5,810,824.5,800.983154,296036
02/12/2016,824.5,826.5,816.43103,821,797.582886,305259
05/12/2016,824.5,828,810.5,821.5,798.068726,239022
06/12/2016,838,838,821.5,825,801.468872,150573
07/12/2016,816.5,831,816.5,829,805.354736,167962
08/12/2016,820.5,826.5,810,818,794.668579,295664
09/12/2016,817.5,829.179993,812.5,821.5,798.068726,142980
12/12/2016,819.5,831.340027,810,814,790.782654,269455
13/12/2016,813.5,826.5,810.106018,823.5,800.011658,170196
14/12/2016,818.5,833.5,816.5,830.5,806.812012,303896
15/12/2016,828,852.5,823,848.5,824.298584,313869
16/12/2016,834,860.585999,832.078003,860.5,835.956299,318542
19/12/2016,859,863.5,857,862,837.413574,303868
20/12/2016,862.5,865,855.5,860,835.470642,263993
21/12/2016,859,868.5,857.211975,864.5,839.842285,174488
22/12/2016,872,878,865.192993,877.5,852.471436,120090
23/12/2016,877.5,879.5,870,876,851.014221,50460
28/12/2016,880.5,888.5,874,885,859.757446,187654
29/12/2016,886.5,893,882.5,888,862.671875,179486
30/12/2016,890.5,892,882.5,888,862.671875,46374
03/01/2017,897,898,876.5,880,854.900085,447552
04/01/2017,887.5,890.5,875.5,875.5,850.528503,164278
05/01/2017,887.5,887.5,879.120972,886,860.729004,242027
06/01/2017,891,894,877,890.5,865.100708,255134
09/01/2017,895.5,900.900024,885,891,865.586426,144920
10/01/2017,874,902.5,874,891.5,866.072083,477547
11/01/2017,894,897,884.5,890,864.614929,150319
12/01/2017,871.5,895,871.5,891,865.586426,215896
13/01/2017,891,894,887,894,868.500732,246739
16/01/2017,895,908,887.5,898,872.386658,137436
17/01/2017,893,904.5,882.5,902,876.272583,128273
18/01/2017,905,940,891.5,937.5,910.760071,474125
19/01/2017,921,947,921,934.5,907.845581,381037
20/01/2017,920,945,920,930.5,903.959717,189580
23/01/2017,920.5,946.5,920.5,933,906.388428,134771
24/01/2017,936.5,936.5,920.5,931.5,904.931213,225313
25/01/2017,937.5,937.5,924.5,934,907.359985,183020
26/01/2017,934.5,934.5,919.549988,929,902.502563,120875
27/01/2017,925.5,940,923.5,934.5,907.845581,144167
30/01/2017,922,937.5,922,930,903.473999,131587
31/01/2017,926,943,920.5,937,910.274353,200728
01/02/2017,944,948.5,937.5,943.5,916.588928,211518
02/02/2017,941,962,930,943,916.103271,332012
03/02/2017,947,953.5,931,953,925.817932,171667
06/02/2017,945,950.5,933,949.5,922.417786,101822
07/02/2017,950,955,945,950,922.903564,141455
08/02/2017,951.5,953.5,947.5,950,922.903564,163706
09/02/2017,949,950,938,946,919.017639,111478
10/02/2017,930,950.5,930,948.5,921.44635,145765
13/02/2017,943.5,945.5,934.780029,941.5,914.645996,208081
14/02/2017,937,940,925,932.5,905.90271,536145
15/02/2017,937,949.5,931,948,920.960571,219150
16/02/2017,958.5,958.5,940.5,944.5,917.560486,129820
17/02/2017,946.5,949,933.5,943,916.103271,109026
20/02/2017,943.5,960,933.960022,959,931.64679,151002
21/02/2017,962,962,950.5,953,925.817932,107445
22/02/2017,948.5,961,948.5,958,930.675354,224439
23/02/2017,961.5,975,959,966,938.447205,187914
24/02/2017,968,985,962.5,980.5,952.53363,202754
27/02/2017,987,988,977,983,954.96228,124465
28/02/2017,962,988.5,962,979.5,951.562134,285425
01/03/2017,980,990,976,989,960.791199,299210
02/03/2017,991.5,991.5,974,985.5,957.390991,133433
03/03/2017,987,991,974.5,989.5,961.276855,123615
06/03/2017,968,972.5,954,962,934.561279,295155
07/03/2017,950,956,942,949.5,922.417786,335776
08/03/2017,948,956,941.5,953.5,926.303772,240045
09/03/2017,953,966,944,965,937.475769,204680
10/03/2017,970,976,921,935.5,908.8172,525225
13/03/2017,930.5,936.47998,925,934,907.359985,308812
14/03/2017,955,955.25,939.5,942.5,915.617493,602866
15/03/2017,944.5,946.5,935,946.5,919.503357,248690
16/03/2017,952.5,952.5,941,946.5,919.503357,198553
17/03/2017,945,960,943,960,932.618347,446836
20/03/2017,953,964.5,951.5,963.5,936.018494,229467
21/03/2017,966.5,966.5,954.169983,955.5,928.246704,223286
22/03/2017,951,957.380005,926.5,929.5,902.988281,222210
23/03/2017,943.5,968.5,937,950.5,923.389282,669090
24/03/2017,949,955.5,941,947,919.989136,240231
27/03/2017,947.5,950,938,950,922.903564,199748
28/03/2017,944,953,939.5,948,920.960571,345866
29/03/2017,952,955.5,942.5,945.5,918.531921,267794
30/03/2017,942,949,939,947.5,920.474915,193258
31/03/2017,949.5,949.5,940,945,918.046082,223501
03/04/2017,946.5,948,935,940,913.188782,314481
04/04/2017,937.5,954.5,936.5,946.5,919.503357,205867
05/04/2017,954.5,959,946.5,958,930.675354,245327
06/04/2017,955,962,949.5,957.5,930.189575,187355
07/04/2017,950,968,950,956,928.732483,374516
10/04/2017,960,962,951,953,925.817932,215018
11/04/2017,958.5,958.5,949,957,929.703918,254627
12/04/2017,961.5,961.5,952.343018,960,932.618347,245326
13/04/2017,964,979.5,954,979.5,951.562134,301705
18/04/2017,969.5,983,968.5,980,952.047852,335440
