DATE,Rate
22/03/2016,1.0165
23/03/2016,1.0165
24/03/2016,1.0115
25/03/2016,
28/03/2016,
29/03/2016,1.014
30/03/2016,1.00338
31/03/2016,1.00338
01/04/2016,1.00213
04/04/2016,1.00213
05/04/2016,0.99963
06/04/2016,0.99838
07/04/2016,0.99213
08/04/2016,0.99713
11/04/2016,0.99838
12/04/2016,1.00838
13/04/2016,1.00963
14/04/2016,1.01275
15/04/2016,1.0115
18/04/2016,1.01025
19/04/2016,1.01463
20/04/2016,1.01588
21/04/2016,1.02088
22/04/2016,1.02275
25/04/2016,1.0265
26/04/2016,1.02713
27/04/2016,1.02713
28/04/2016,1.0265
29/04/2016,1.0215
02/05/2016,
03/05/2016,1.02025
04/05/2016,1.0065
05/05/2016,1.00275
06/05/2016,0.99463
09/05/2016,0.98525
10/05/2016,0.98338
11/05/2016,0.98338
12/05/2016,0.9865
13/05/2016,0.98963
16/05/2016,0.989
17/05/2016,0.99088
18/05/2016,0.9965
19/05/2016,1.01025
20/05/2016,1.00213
23/05/2016,1.00025
24/05/2016,1.00338
25/05/2016,1.0115
26/05/2016,1.0115
27/05/2016,1.01025
30/05/2016,
31/05/2016,1.01025
01/06/2016,0.99838
02/06/2016,0.9965
03/06/2016,0.98525
06/06/2016,0.96463
07/06/2016,0.97025
08/06/2016,0.969
09/06/2016,0.964
10/06/2016,0.96775
13/06/2016,0.96463
14/06/2016,0.95463
15/06/2016,0.9565
16/06/2016,0.95525
17/06/2016,0.96213
20/06/2016,0.98181
21/06/2016,0.99025
22/06/2016,0.99025
23/06/2016,0.99275
24/06/2016,0.93313
27/06/2016,0.89775
28/06/2016,0.90525
29/06/2016,0.91338
30/06/2016,0.92088
01/07/2016,0.85488
04/07/2016,0.84588
05/07/2016,0.83525
06/07/2016,0.83994
07/07/2016,0.84494
08/07/2016,0.84575
11/07/2016,0.81931
12/07/2016,0.821
13/07/2016,0.8215
14/07/2016,0.81306
15/07/2016,0.83556
18/07/2016,0.82463
19/07/2016,0.83119
20/07/2016,0.83025
21/07/2016,0.83869
22/07/2016,0.82463
25/07/2016,0.83025
26/07/2016,0.81369
27/07/2016,0.809
28/07/2016,0.80463
29/07/2016,0.80119
01/08/2016,0.8015
02/08/2016,0.80431
03/08/2016,0.80494
04/08/2016,0.80181
05/08/2016,0.73569
08/08/2016,0.721
09/08/2016,0.71975
10/08/2016,0.71538
11/08/2016,0.71663
12/08/2016,0.721
15/08/2016,0.72225
16/08/2016,0.72225
17/08/2016,0.726
18/08/2016,0.73381
19/08/2016,0.73431
22/08/2016,0.73181
23/08/2016,0.73275
24/08/2016,0.734
25/08/2016,0.74275
26/08/2016,0.73806
29/08/2016,
30/08/2016,0.73744
31/08/2016,0.73781
01/09/2016,0.73806
02/09/2016,0.73619
05/09/2016,0.73775
06/09/2016,0.73638
07/09/2016,0.73294
08/09/2016,0.73763
09/09/2016,0.747
12/09/2016,0.74825
13/09/2016,0.74825
14/09/2016,0.75356
15/09/2016,0.75513
16/09/2016,0.74763
19/09/2016,0.74731
20/09/2016,0.74513
21/09/2016,0.747
22/09/2016,0.74794
23/09/2016,0.74575
26/09/2016,0.74919
27/09/2016,0.7495
28/09/2016,0.7535
29/09/2016,0.75494
30/09/2016,0.7565
03/10/2016,0.75806
04/10/2016,0.75713
05/10/2016,0.75931
06/10/2016,0.7615
07/10/2016,0.77869
10/10/2016,0.78806
11/10/2016,0.7865
12/10/2016,0.79181
13/10/2016,0.79994
14/10/2016,0.79994
17/10/2016,0.81213
18/10/2016,0.80556
19/10/2016,0.80338
20/10/2016,0.804
21/10/2016,0.80181
24/10/2016,0.79994
25/10/2016,0.80306
26/10/2016,0.8065
27/10/2016,0.81494
28/10/2016,0.81525
31/10/2016,0.814
01/11/2016,0.81338
02/11/2016,0.80025
03/11/2016,0.80025
04/11/2016,0.81113
07/11/2016,0.80925
08/11/2016,0.80956
09/11/2016,0.80963
10/11/2016,0.80806
11/11/2016,0.8115
14/11/2016,0.81744
15/11/2016,0.81181
16/11/2016,0.81213
17/11/2016,0.809
18/11/2016,0.80931
21/11/2016,0.8065
22/11/2016,0.799
23/11/2016,0.799
24/11/2016,0.80025
25/11/2016,0.798
28/11/2016,0.79238
29/11/2016,0.793
30/11/2016,0.79244
01/12/2016,0.79588
02/12/2016,0.79363
05/12/2016,0.79288
06/12/2016,0.78913
07/12/2016,0.79275
08/12/2016,0.7915
09/12/2016,0.79113
12/12/2016,0.79113
13/12/2016,0.7915
14/12/2016,0.794
15/12/2016,0.79875
16/12/2016,0.79863
19/12/2016,0.79613
20/12/2016,0.79538
21/12/2016,0.79425
22/12/2016,0.79438
23/12/2016,0.78938
26/12/2016,
27/12/2016,
28/12/2016,0.78563
29/12/2016,0.77788
30/12/2016,0.7765
02/01/2017,
03/01/2017,0.77975
04/01/2017,0.77938
05/01/2017,0.77938
06/01/2017,0.78163
09/01/2017,0.78413
10/01/2017,0.78163
11/01/2017,0.77913
12/01/2017,0.77413
13/01/2017,0.77038
16/01/2017,0.76775
17/01/2017,0.77088
18/01/2017,0.77181
19/01/2017,0.76963
20/01/2017,0.77525
23/01/2017,0.78356
24/01/2017,0.77456
25/01/2017,0.7755
26/01/2017,0.77481
27/01/2017,0.7745
30/01/2017,0.77069
31/01/2017,0.77044
01/02/2017,0.76981
02/02/2017,0.767
03/02/2017,0.75606
06/02/2017,0.755
07/02/2017,0.75238
08/02/2017,0.75325
09/02/2017,0.75281
10/02/2017,0.75294
13/02/2017,0.75294
14/02/2017,0.75019
15/02/2017,0.75244
16/02/2017,0.75275
17/02/2017,0.74463
20/02/2017,0.74306
21/02/2017,0.74338
22/02/2017,0.7415
23/02/2017,0.74463
24/02/2017,0.7425
27/02/2017,0.73769
28/02/2017,0.73506
01/03/2017,0.73256
02/03/2017,0.72338
03/03/2017,0.72056
06/03/2017,0.72163
07/03/2017,0.7235
08/03/2017,0.72069
09/03/2017,0.71881
10/03/2017,0.71975
13/03/2017,0.71844
14/03/2017,0.72013
15/03/2017,0.71981
16/03/2017,0.71863
17/03/2017,0.734
20/03/2017,0.73244
21/03/2017,0.73975
22/03/2017,0.73506
23/03/2017,0.7385
24/03/2017,0.73306
27/03/2017,0.73238
28/03/2017,0.73113
29/03/2017,0.7305
30/03/2017,0.71769
31/03/2017,0.71769
03/04/2017,0.71481
